Tanggal,Tavg,RH_avg,RR
02-11-2020,27.5,87,25.2
03-11-2020,27.9,86,0
04-11-2020,28.9,79,4.5
05-11-2020,27.4,80,1.5
06-11-2020,28.7,81,9
07-11-2020,29.8,80,0
08-11-2020,29.5,80,15.5
09-11-2020,29,83,34
10-11-2020,29.2,81,11
11-11-2020,28.8,82,4.1
12-11-2020,30.7,74,0
13-11-2020,31.1,72,0
14-11-2020,30.1,79,0
15-11-2020,29.5,80,0.6
16-11-2020,32.3,65,0
17-11-2020,29.8,81,16.4
18-11-2020,27.8,86,8.5
19-11-2020,29.4,80,15
20-11-2020,28.7,84,1.2
21-11-2020,28.9,87,19.6
22-11-2020,28.3,84,0
23-11-2020,28,86,0
24-11-2020,28,85,1.1
25-11-2020,27.6,86,13.4
26-11-2020,27.7,84,1.5
27-11-2020,28.4,82,0
28-11-2020,28,86,0.3
29-11-2020,26,94,0.5
30-11-2020,27.1,85,52
01-12-2020,28.4,83,0
02-12-2020,27.9,85,1
03-12-2020,27.7,88,87.5
04-12-2020,28.2,85,0
05-12-2020,28,84,5
06-12-2020,25.9,90,7.8
07-12-2020,25.2,95,23.1
08-12-2020,28.4,80,18
09-12-2020,27.9,82,20.7
10-12-2020,27.4,89,14.1
11-12-2020,27.6,88,27.9
12-12-2020,27.7,88,15
13-12-2020,27,92,14.5
14-12-2020,26.8,90,0
15-12-2020,27.1,89,1.8
16-12-2020,26.8,90,1.8
17-12-2020,26.9,90,11.5
18-12-2020,26.4,90,11.8
19-12-2020,26.9,86,61.6
20-12-2020,27.6,84,9.2
21-12-2020,27.8,82,0
22-12-2020,28.2,86,0
23-12-2020,28.1,86,0
24-12-2020,28.4,83,7.3
25-12-2020,28.6,81,10
26-12-2020,28.3,85,2
27-12-2020,28,85,1
28-12-2020,28.1,86,2.4
29-12-2020,27.7,90,13
30-12-2020,27,88,3.4
31-12-2020,27.3,87,8.7
01-01-2021,27.6,85,1.6
02-01-2021,27.8,84,3.5
03-01-2021,27.6,85,0
04-01-2021,27.6,84,2.3
05-01-2021,27.1,88,8
06-01-2021,28,86,3.45
07-01-2021,27,88,0
08-01-2021,27.4,87,1
09-01-2021,26.8,89,43.5
10-01-2021,27.6,86,7.7
11-01-2021,28,88,3.3
12-01-2021,27.9,85,0.3
13-01-2021,27.4,88,6.5
14-01-2021,26.8,88,8.8
15-01-2021,27.4,87,0.5
16-01-2021,27.1,88,7.1
17-01-2021,26.6,90,2
18-01-2021,25.8,94,19.2
19-01-2021,24.5,96,57.8
20-01-2021,27.9,86,7.8
21-01-2021,27.1,88,0
22-01-2021,26.8,89,10.4
23-01-2021,26.1,89.5,10.6
24-01-2021,26.7,90,0
25-01-2021,27.2,86,5.2
26-01-2021,26.6,87,0
27-01-2021,26.1,91,12
28-01-2021,26.4,90,10.2
29-01-2021,25.6,94,8.7
30-01-2021,25.3,93,16.9
31-01-2021,25.5,96,24.9
01-02-2021,26.8,90,12.7
02-02-2021,27,90,6.7
03-02-2021,26.8,90,5
04-02-2021,26.45,91.67,71
05-02-2021,26.45,91.67,29
06-02-2021,26.45,91.67,173.5
07-02-2021,26.1,94,42.1
08-02-2021,25.2,96,41.1
09-02-2021,26.8,90,33.7
10-02-2021,27,94,6.2
11-02-2021,27.3,90,4
12-02-2021,27.5,91,20.6
13-02-2021,27.3,92,10.2
14-02-2021,27.2,91,0
15-02-2021,27,92,16.4
16-02-2021,27.4,88,5.5
17-02-2021,26.7,93,5.2
18-02-2021,26.8,92,0
19-02-2021,25,94,4.2
20-02-2021,25.8,92,18.9
21-02-2021,27.4,89,1.4
22-02-2021,27.4,90,1
23-02-2021,26,91,0.8
24-02-2021,26.7,91,66.5
25-02-2021,25.2,95,62.9
26-02-2021,26.4,92,54.4
27-02-2021,28,88,0.2
28-02-2021,27,90,1
01-03-2021,27.5,90,0.3
02-03-2021,27.8,90,0
03-03-2021,27.3,93,0
04-03-2021,26.8,92,0
05-03-2021,27.1,93,4.5
06-03-2021,27.9,89,0
07-03-2021,26.9,91,0
08-03-2021,27.2,91,13.4
09-03-2021,27.1,90,8.4
10-03-2021,26.8,93,2.3
11-03-2021,27.6,91,0
12-03-2021,27.5,91,0
13-03-2021,26.2,96,1.7
14-03-2021,26.8,92,20
15-03-2021,27.2,92,4
16-03-2021,27.9,92,3
17-03-2021,27.8,86,0.3
18-03-2021,28.2,85,1
19-03-2021,28,85,1.8
20-03-2021,27.7,84,0
21-03-2021,28.1,84,0
22-03-2021,27.6,86,19.3
23-03-2021,28,85.5,0
24-03-2021,28.4,85,0
25-03-2021,27.9,86,0
26-03-2021,28.3,86,6.5
27-03-2021,28.4,86,0
28-03-2021,28.1,86,0
29-03-2021,28.2,86,18.5
30-03-2021,27.1,90,13.5
31-03-2021,28,85,4.2
01-04-2021,28.3,87,20
02-04-2021,28.6,86,0
03-04-2021,28.3,83,0
04-04-2021,28.5,83,0
05-04-2021,29.1,78,0
06-04-2021,28.7,84,3
07-04-2021,27.1,88,8
08-04-2021,27.1,89,0.5
09-04-2021,28.1,84,8.5
10-04-2021,28.2,84,0
11-04-2021,28.7,81,0
12-04-2021,27.5,90,17
13-04-2021,27.8,86,3.4
14-04-2021,27.6,84,0
15-04-2021,28.5,81,4.7
16-04-2021,28.45,82.5,0
17-04-2021,28.4,82.5,1
18-04-2021,28.2,81,2
19-04-2021,28.3,84,15.3
20-04-2021,28.1,82,12.6
21-04-2021,28,74,0
22-04-2021,28.3,74,0
23-04-2021,28.3,80,0
24-04-2021,28.4,78,0
25-04-2021,28.2,82,30.4
26-04-2021,29.8,75,0
27-04-2021,29.4,79,0
28-04-2021,28.7,80.5,6.3
29-04-2021,28,82,0
30-04-2021,28.8,80,0
01-05-2021,28.7,80,0
02-05-2021,29.9,80,0
03-05-2021,29.9,76,0
04-05-2021,29.7,76,0
05-05-2021,28.7,82,1.5
06-05-2021,28.4,82,29
07-05-2021,28.2,86,0.5
08-05-2021,27.9,86,0
09-05-2021,28.6,75,0.3
10-05-2021,29.4,73,0
11-05-2021,30.8,73,0
12-05-2021,30.1,75,3.9
13-05-2021,29.875,76.75,0
14-05-2021,29.875,76.75,0.15
15-05-2021,29,81,0
16-05-2021,29.6,78,0.4
17-05-2021,29,80,0
18-05-2021,28.2,84,79.3
19-05-2021,28.2,84,0
20-05-2021,27.5,88,1
21-05-2021,28.6,84,41
22-05-2021,28.8,80,0
23-05-2021,28.2,85,0
24-05-2021,28.8,82,0
25-05-2021,28,80,0
26-05-2021,29.2,78,0
27-05-2021,29.8,72,0
28-05-2021,29.7,74,0
29-05-2021,28.3,86,0
30-05-2021,28,86,48
31-05-2021,29.2,76,0
01-06-2021,28.5,80,0
02-06-2021,28.8,81,0.5
03-06-2021,29.7,77,0
04-06-2021,30.1,73,0
05-06-2021,29.8,73,0
06-06-2021,29.5,73,0.1
07-06-2021,29.2,75.25,0.2
08-06-2021,29.2,75.25,0.1
09-06-2021,28.4,78,0
10-06-2021,29.1,77,3.6
11-06-2021,28.4,79,13.5
12-06-2021,28.6,76,0
13-06-2021,29.8,68,0
14-06-2021,28.4,73,0
15-06-2021,28.5,78,0
16-06-2021,27.3,80.5,0
17-06-2021,26.8,83,0.8
18-06-2021,28,77,0.8
19-06-2021,26.5,88,0.5
20-06-2021,27,84,13.3
21-06-2021,26.7,84,26.9
22-06-2021,27.9,79,1.1
23-06-2021,27.5,82,9
24-06-2021,26.2,87,5
25-06-2021,27.8,79,42.5
26-06-2021,28.9,78,0
27-06-2021,28.9,82,0
28-06-2021,27,84,0.3
29-06-2021,28,76,18
30-06-2021,28.6,76,0
01-07-2021,28.25,75.5,0
02-07-2021,27.9,75,0
03-07-2021,28.1,70,0
04-07-2021,28.6,72,0
05-07-2021,28.6,70,0
06-07-2021,28.6,54,0
07-07-2021,27.8,63,0
08-07-2021,27.8,74,0
09-07-2021,28.7,76,0
10-07-2021,29.6,72,0
11-07-2021,29.8,69,0
12-07-2021,28.3,70,0
13-07-2021,28.4,68,0
14-07-2021,28.5,66,0
15-07-2021,28.5,65,0
16-07-2021,27,69,0
17-07-2021,27.1,74,0
18-07-2021,28.3,77,0
19-07-2021,28.6,78,9.2
20-07-2021,29.7,72,0
21-07-2021,28.8,70,0
22-07-2021,28.7,77,0
23-07-2021,29,71,0
24-07-2021,28.2,77,5.3
25-07-2021,27.9,#DIV/0!,0
26-07-2021,27.6,67,0
27-07-2021,27.6,62,0
28-07-2021,27.7,62,0
29-07-2021,28,72,0
30-07-2021,28,74,0
31-07-2021,27.9,78,0
01-08-2021,28.4,77,1
02-08-2021,27.9,80,0
03-08-2021,27.9,82,6.3
04-08-2021,28.6,76,0
05-08-2021,29.1,71,0
06-08-2021,29,66,0
07-08-2021,29.5,72,0
08-08-2021,29.4,74,0
09-08-2021,29.3,76,0
10-08-2021,29.2,73,0
11-08-2021,29,63,0
12-08-2021,27.5,75,0
13-08-2021,28.4,76,0
14-08-2021,28,80,21.8
15-08-2021,29,73,0.4
16-08-2021,28.5,77,0
17-08-2021,29.1,70,0
18-08-2021,28,75,0
19-08-2021,27.6,83,0
20-08-2021,28.4,73,15.4
21-08-2021,28.7,72,0
22-08-2021,27.4,82,0.4
23-08-2021,28.7,78,0
24-08-2021,28.9,70,0
25-08-2021,28.4,72,0
26-08-2021,28.2,74,0
27-08-2021,28.2,70,0
28-08-2021,28.6,73,0
29-08-2021,29.3,76,17.2
30-08-2021,28.8,77,0
31-08-2021,29.6,73,0
01-09-2021,28.7,77,0
02-09-2021,29.2,69,0
03-09-2021,28.7,71,0
04-09-2021,28.6,71,0
05-09-2021,28.4,78,0
06-09-2021,29.2,75,0
07-09-2021,29.7,74,0
08-09-2021,28.6,82,13.7
09-09-2021,28.1,70,2.8
10-09-2021,28.7,80,0
11-09-2021,27.8,84,0
12-09-2021,28.6,79,8.8
13-09-2021,29.9,74,0.2
14-09-2021,27.8,82,0
15-09-2021,28.1,78,14.8
16-09-2021,28.4,78,0
17-09-2021,28.3,80,10.6
18-09-2021,29.5,69,0
19-09-2021,29.5,70,0
20-09-2021,28.7,72,0
21-09-2021,27.9,78,24.4
22-09-2021,28.5,70,7.2
23-09-2021,29.8,67,0.2
24-09-2021,29.5,71,0.3
25-09-2021,29.2,73,0.3
26-09-2021,27.4,83,69
27-09-2021,28.4,80,10.5
28-09-2021,28.8,81,36
29-09-2021,29.4,69,0
30-09-2021,30.1,68,0
01-10-2021,29.8,73,0
02-10-2021,29.1,73,0
03-10-2021,28.8,74,0
04-10-2021,28.5,74,0
05-10-2021,28.6,77,0
06-10-2021,28.8,70,0
07-10-2021,28.2,73,0
08-10-2021,28.3,79,0
09-10-2021,29,75,2.3
10-10-2021,29.1,75,0
11-10-2021,29.6,74,0
12-10-2021,29.2,71,0
13-10-2021,29.5,71,0
14-10-2021,29.7,69,0
15-10-2021,29.6,76,0
16-10-2021,30.7,72,0
17-10-2021,29.9,77,4.7
18-10-2021,28.1,83,7.7
19-10-2021,28.5,81,0.4
20-10-2021,29.5,80,0
21-10-2021,29.3,82,10.2
22-10-2021,27.6,86,15
23-10-2021,29.3,78,12.3
24-10-2021,29.1,81,9.3
25-10-2021,29.5,80,0
26-10-2021,29.2,76,34.3
27-10-2021,29.1,78,0.3
28-10-2021,29.7,75,1.7
29-10-2021,28.5,84,3.1
30-10-2021,28,84,8.4
31-10-2021,28.6,84,9.4
01-11-2021,28.4,82,32
02-11-2021,27.6,85,3.4
03-11-2021,28.4,82,3
04-11-2021,27.9,85,0
